Rodada,Metrica,Média,Desvio Padrão,Mínimo,Máximo
Rodada_0,Hypervolume,0.5639438819870056,0.05918561359693797,0.39832548969025117,0.672714181347408
Rodada_0,IGD,0.1111297030104065,0.03330933160434649,0.031261965895421934,0.19134759011560945
Rodada_1,Hypervolume,0.7646001437749288,0.05193174713447259,0.6470340089155744,0.8605020146957408
Rodada_1,IGD,0.061554723769419416,0.012049687969704874,0.035477100436533356,0.08834786820536274
Rodada_2,Hypervolume,0.7891052588976543,0.051626400371793,0.6582204101183091,0.8705045900161115
Rodada_2,IGD,0.06052678144766888,0.016081306480752407,0.04026763606998542,0.10388781108108017
Rodada_3,Hypervolume,0.8221764007697577,0.04967891196307948,0.7326011688824184,0.9165222433567164
Rodada_3,IGD,0.044666354036643305,0.012216703115239737,0.025160668409904885,0.0661375731696614
Rodada_4,Hypervolume,0.7668081312643978,0.0470890669410048,0.6289895150980229,0.8568619765558918
Rodada_4,IGD,0.06122562951264924,0.016276329199825586,0.027294906213687697,0.10964444921515377
Rodada_5,Hypervolume,0.8286872995829107,0.07295414817812876,0.512090196266761,0.9107041090419077
Rodada_5,IGD,0.06939943688568077,0.04760794152547135,0.025529651044196595,0.3315992343333105
Rodada_6,Hypervolume,0.7967877707832283,0.0439742001081536,0.7109266160924331,0.8826261870046312
Rodada_6,IGD,0.04138099517373004,0.010248727292785132,0.026975569216565506,0.07302383141901826
Rodada_7,Hypervolume,0.5877163884717367,0.05772264356261357,0.4361097655655084,0.6961322004976263
Rodada_7,IGD,0.05778449488097701,0.02549020822340227,0.024986136295477482,0.14041286468748154
Rodada_8,Hypervolume,0.6639083669547368,0.053524889131373474,0.5087954379713622,0.7913578928667542
Rodada_8,IGD,0.05720184868116347,0.02299482613177237,0.02675004490315856,0.1550440615150831
Rodada_9,Hypervolume,0.820474777907444,0.0594506186555272,0.6566732782219589,0.9066027733569999
Rodada_9,IGD,0.05767810230879345,0.020046960865785095,0.0321523813051797,0.1254034691248749
Rodada_10,Hypervolume,0.7615540036472175,0.053761835306596444,0.634181567852767,0.8527851082293029
Rodada_10,IGD,0.05347261440216654,0.021271739067033186,0.021425537048043675,0.12738383276027404
Rodada_11,Hypervolume,0.6201286699542966,0.1367683554480474,0.0,0.7862654032762049
Rodada_11,IGD,0.1174136951919341,0.17206449311833896,0.03885484523722053,1.111880424919454
Rodada_12,Hypervolume,0.7586287956899923,0.053410207480807985,0.6591160994287393,0.8437637814284005
Rodada_12,IGD,0.067321843790534,0.019308767554059234,0.036075009743321354,0.12395536970929288
Rodada_13,Hypervolume,0.6508663625634925,0.052553788424963346,0.4991600157793196,0.7371304995119122
Rodada_13,IGD,0.06017618375864197,0.013354934182240562,0.041204814531023835,0.11394697968968233
Rodada_14,Hypervolume,0.6738053960777353,0.06474618603517465,0.4853720527362368,0.7927593205684925
Rodada_14,IGD,0.08071964909997023,0.02112948957900262,0.04656560701458886,0.16188050255447825
Rodada_15,Hypervolume,0.8224039897499478,0.047081367172513065,0.7157299598140997,0.8884739804681583
Rodada_15,IGD,0.05192123609578116,0.012053664835234755,0.030566551230897927,0.07823419285460394
Rodada_16,Hypervolume,0.7285582552293927,0.0526929422128233,0.6179500915813693,0.8144538576780512
Rodada_16,IGD,0.05600756703961825,0.015320019636577963,0.026826335635021317,0.10367269993928893
Rodada_17,Hypervolume,0.6933423240419265,0.05929537368209968,0.5606762609903018,0.8277696356438144
Rodada_17,IGD,0.06845419238431823,0.022593958246385937,0.03518917257397857,0.1436577126550684
Rodada_18,Hypervolume,0.7460240747250512,0.07262344712794497,0.5444007134797126,0.8608360792854837
Rodada_18,IGD,0.060968877504473974,0.03268964542910505,0.02114910094482161,0.19625827746181285
Rodada_19,Hypervolume,0.8058214752526952,0.05757525393580398,0.6480148780530902,0.8883035233916562
Rodada_19,IGD,0.0485444527195388,0.018039429273701613,0.023528254947114573,0.12206622147595243
Rodada_20,Hypervolume,0.7436074754143368,0.06518188066748963,0.6092147191336563,0.8556667211151989
Rodada_20,IGD,0.07685552752485196,0.02471872333708314,0.04375160226939047,0.1545923359627747
Rodada_21,Hypervolume,0.6974393074883274,0.08320909503637448,0.4082307260267787,0.8039710219187505
Rodada_21,IGD,0.0879937674442518,0.046805204976327834,0.04785426890078083,0.2994316996337861
Rodada_22,Hypervolume,0.7096844815262824,0.07297328256917052,0.4909253673281082,0.8368158797796525
Rodada_22,IGD,0.08147204184425659,0.034893107361204594,0.04006691865057032,0.2081502322231332
Rodada_23,Hypervolume,0.7538184825032548,0.08954533838633137,0.4907654923496308,0.878422068373037
Rodada_23,IGD,0.09148256533999183,0.04982382964521701,0.03668801757870363,0.29713899555062545
Rodada_24,Hypervolume,0.7813222122946246,0.060710587231334,0.5495063404849068,0.8868263358131538
Rodada_24,IGD,0.05641860366264437,0.017276322279764538,0.0291714801627156,0.1398389325525685
Rodada_25,Hypervolume,0.6316174168105099,0.06981637136586198,0.41022284653991387,0.7387934600664325
Rodada_25,IGD,0.07642823550595589,0.03275421552925282,0.0414300055335979,0.20386018966888578
Rodada_26,Hypervolume,0.6648388794078667,0.058223724789040004,0.5306713882424122,0.78807120403456
Rodada_26,IGD,0.06370181113970416,0.01844733797606694,0.037491622792339786,0.12300979439526286
Rodada_27,Hypervolume,0.7484854656986992,0.05673500220078028,0.6086877234221623,0.8472210087260074
Rodada_27,IGD,0.07127535731250496,0.01955241392552025,0.028434583902596365,0.13463723125307808
Rodada_28,Hypervolume,0.6820575325672654,0.06646168752733066,0.5225512466010205,0.7785775520471432
Rodada_28,IGD,0.061902591070390284,0.018150986653625932,0.030673491839298486,0.12009454183000663
Rodada_29,Hypervolume,0.6613818048204796,0.05743483586464688,0.49255841008817436,0.7604936184956229
Rodada_29,IGD,0.06784339544174374,0.0282090223347592,0.030887730501978808,0.15999508476435514
Rodada_30,Hypervolume,0.6566012336937094,0.07498196276000728,0.4878555703443713,0.8159117111845802
Rodada_30,IGD,0.075228245695029,0.03469682013812893,0.024284763079163416,0.16834605096132518
Rodada_31,Hypervolume,0.8261495506224175,0.06445325673371201,0.6462379401782093,0.9111897311829019
Rodada_31,IGD,0.056107699037439576,0.02163791780236769,0.03238974492955743,0.14532436999300125
Rodada_32,Hypervolume,0.7783719416209942,0.06577864486134084,0.6074650911713739,0.8922229963057159
Rodada_32,IGD,0.06708112393739682,0.01723705729962084,0.03275436840516107,0.11948207242042508
Rodada_33,Hypervolume,0.6797205421506759,0.07557221661776505,0.3617574471789977,0.7999338211082919
Rodada_33,IGD,0.0747626494817434,0.04115655274936477,0.03873393642686655,0.31900799531215585
Rodada_34,Hypervolume,0.7382800760794823,0.08316206762327014,0.5052492055744756,0.8668030652239509
Rodada_34,IGD,0.06645627447654409,0.037035886823956914,0.030475688937582592,0.19550195585032634
Rodada_35,Hypervolume,0.7271536598084765,0.08223817065500283,0.496015145537723,0.8291326565266732
Rodada_35,IGD,0.06519641729129617,0.03201349437973448,0.028815998253134367,0.18495987547834544
Rodada_36,Hypervolume,0.6961883494627239,0.05341392478819029,0.5470026898313896,0.8016407962731604
Rodada_36,IGD,0.05817336651496079,0.020396988356817365,0.030012211531502023,0.11475993884504496
Rodada_37,Hypervolume,0.8338337247984968,0.05595759604496636,0.695967693814087,0.9247014053175615
Rodada_37,IGD,0.062248728052321935,0.0212578207295256,0.03717095101954868,0.1436339029248342
Rodada_38,Hypervolume,0.7444871141654016,0.059839587612470393,0.6011098524572639,0.8487827798531173
Rodada_38,IGD,0.05294683041655298,0.01749701705199861,0.021480965117310756,0.11629754795866375
Rodada_39,Hypervolume,0.6611031639182443,0.07007277011400653,0.47652358350981244,0.7908501491516333
Rodada_39,IGD,0.08515082423273183,0.028186736893845446,0.03486239152105776,0.17577921956714598
Rodada_40,Hypervolume,0.770836600514895,0.05300131757114448,0.6196832934159099,0.8438480638526789
Rodada_40,IGD,0.0519226938235238,0.021231614673320343,0.022749624153735905,0.1304244945682093
Rodada_41,Hypervolume,0.638715114496642,0.06396834706530884,0.5111421160380428,0.7597496219669877
Rodada_41,IGD,0.07615321500804005,0.025566775501708022,0.030121130201113563,0.13264241297776258
Rodada_42,Hypervolume,0.8089908645437732,0.07161631165699801,0.5395201229471718,0.9052867417542081
Rodada_42,IGD,0.07120600747439279,0.03170959181583846,0.03617969301936512,0.22249599694197916
Rodada_43,Hypervolume,0.7574437229090458,0.06342603122882792,0.6296855434632234,0.8757601694034959
Rodada_43,IGD,0.057991549547594286,0.019238338305415468,0.029134624080693734,0.11805767351575973
Rodada_44,Hypervolume,0.5821086119520095,0.05947409851022792,0.4615213161444617,0.7115874830826596
Rodada_44,IGD,0.08612361638079255,0.024230737307484373,0.03272177713716941,0.16144307417050136
Rodada_45,Hypervolume,0.8346528704246775,0.05476299876434314,0.6567604396709814,0.9325783733843865
Rodada_45,IGD,0.04562746155548925,0.01386426863829648,0.0256507123573616,0.08686047286030611
Rodada_46,Hypervolume,0.741213783323266,0.05616249312678455,0.625452167970049,0.8548142460666398
Rodada_46,IGD,0.07078386164408912,0.020292290217703807,0.03790816119028684,0.11671816059300583
Rodada_47,Hypervolume,0.8549871637384596,0.043863135601345235,0.7154766934815237,0.9315560202772957
Rodada_47,IGD,0.05292180188645546,0.01780439899652926,0.029758211205220465,0.13782439911134106
Rodada_48,Hypervolume,0.6858318080216916,0.05969379751015581,0.5464424379326659,0.7897684830241317
Rodada_48,IGD,0.05998688860084307,0.022838504451282004,0.023731985402252208,0.1257690239251228
Rodada_49,Hypervolume,0.6573125358355782,0.06197526021087144,0.4748341855175974,0.8001876767821341
Rodada_49,IGD,0.06886918283192052,0.025123157290783214,0.0322096355493285,0.17383496455564587
Rodada_50,Hypervolume,0.7660416375114819,0.055018226211482925,0.6506426440848065,0.8802842814515541
Rodada_50,IGD,0.046979246878496674,0.014611996252683404,0.026168574168747485,0.09509041064966796
Rodada_51,Hypervolume,0.7699676686368668,0.06169591159209052,0.5880358130122226,0.8680101577667739
Rodada_51,IGD,0.05080168166832772,0.020179802638365038,0.024132467440700366,0.12847482950661682
Rodada_52,Hypervolume,0.6805051941421206,0.05824489287916122,0.503662352564707,0.7944564634856743
Rodada_52,IGD,0.047352159072894924,0.023623076377597436,0.023911357882778216,0.17264258246361727
Rodada_53,Hypervolume,0.7976495316670977,0.05355300410060954,0.6554197838354601,0.877996558961874
Rodada_53,IGD,0.07271713471473595,0.021204162034464142,0.0437093069024618,0.16340373311533946
Rodada_54,Hypervolume,0.6045108024263921,0.056563288995740195,0.4788474797677219,0.7233751917890944
Rodada_54,IGD,0.05977531713568914,0.02213219346706133,0.029615970542407045,0.12672075988161285
Rodada_55,Hypervolume,0.6377369313641406,0.060342033583300675,0.4622436881499583,0.7467799771112047
Rodada_55,IGD,0.05152900515049824,0.02086922141008771,0.02773548187260528,0.1378957229895125
Rodada_56,Hypervolume,0.6739745332253939,0.05948687506080519,0.47882867248906724,0.7807907308171104
Rodada_56,IGD,0.06037484081835895,0.02960637051729434,0.03503794708142488,0.23451555854157682
Rodada_57,Hypervolume,0.7375393082481111,0.10623033455205819,0.22075247443247378,0.8483367764402905
Rodada_57,IGD,0.0864411612376065,0.08470923372095578,0.037847665024505206,0.60587895719725
Rodada_58,Hypervolume,0.7257304545240695,0.06785853550996168,0.5640025541922369,0.8538674334873233
Rodada_58,IGD,0.06437915659680038,0.021800851735900392,0.03189507115409695,0.11681814247216016
Rodada_59,Hypervolume,0.7247854409673189,0.06930540601194574,0.5433261854561573,0.8280592744650489
Rodada_59,IGD,0.0725846546410836,0.02812812893515748,0.031157708207327495,0.2003812437310971
